model_id,rmse,mse,mae,rmsle,mean_residual_deviance
StackedEnsemble_AllModels_4_AutoML_1_20260722_155857,165.4840588273851,27384.973725985456,127.17191099271125,0.2061931991129016,27384.973725985456
StackedEnsemble_AllModels_3_AutoML_1_20260722_155857,165.4926774445793,27387.82628777557,127.17197147806016,0.2061959192899668,27387.82628777557
StackedEnsemble_BestOfFamily_4_AutoML_1_20260722_155857,165.5053702528687,27392.027582539147,127.18131038655044,0.2062168131984326,27392.027582539147
StackedEnsemble_BestOfFamily_3_AutoML_1_20260722_155857,165.55568855179848,27408.6860118601,127.2287573503797,0.2062931912388156,27408.6860118601
GBM_grid_1_AutoML_1_20260722_155857_model_1,165.56232284990756,27410.882747457024,127.24849778406588,0.2063367604774656,27410.882747457024
StackedEnsemble_AllModels_2_AutoML_1_20260722_155857,165.56401515800064,27411.443115238668,127.24046861051347,0.2062976749804403,27411.443115238668
GBM_grid_1_AutoML_1_20260722_155857_model_12,165.56502971456092,27411.77906438344,127.2478339535313,0.2063429999750898,27411.77906438344
StackedEnsemble_AllModels_1_AutoML_1_20260722_155857,165.60039809963558,27423.491850757797,127.27332085887684,0.2063406404684468,27423.491850757797
GBM_2_AutoML_1_20260722_155857,165.6167262074179,27428.899999662823,127.30867381023732,0.2064215907537616,27428.899999662823
StackedEnsemble_BestOfFamily_2_AutoML_1_20260722_155857,165.61750330733815,27429.15740175617,127.29587309850852,0.2063741551675088,27429.15740175617
GBM_5_AutoML_1_20260722_155857,165.6476930765142,27439.15822157105,127.31923362090974,0.2064204880090905,27439.15822157105
GBM_grid_1_AutoML_1_20260722_155857_model_14,165.66458889860598,27444.756014944127,127.35130265960342,0.2064836148077141,27444.756014944127
GBM_grid_1_AutoML_1_20260722_155857_model_15,165.69857980088648,27456.019348030743,127.3674280356481,0.2065180509693061,27456.019348030743
GBM_grid_1_AutoML_1_20260722_155857_model_22,165.78158732653884,27483.53469650682,127.4911031347894,0.2066560443068712,27483.53469650682
XGBoost_grid_1_AutoML_1_20260722_155857_model_20,165.78870603279768,27485.895048029404,127.39254747377848,0.2065805066406009,27485.895048029404
XGBoost_3_AutoML_1_20260722_155857,165.79214366553697,27487.03490121405,127.3138951519503,0.2064815903393061,27487.03490121405
XGBoost_grid_1_AutoML_1_20260722_155857_model_25,165.8443527714281,27504.34934617389,127.37759681412412,0.2065047494156093,27504.34934617389
GBM_grid_1_AutoML_1_20260722_155857_model_19,165.86211076856745,27510.239788604536,127.57089602093444,0.2067931407861844,27510.239788604536
GBM_3_AutoML_1_20260722_155857,165.89590427158006,27521.451054085253,127.51968129389864,0.2066377124826237,27521.451054085253
XGBoost_grid_1_AutoML_1_20260722_155857_model_15,165.9745802550004,27547.56129082357,127.55575217230016,0.2067116156581119,27547.56129082357
GBM_grid_1_AutoML_1_20260722_155857_model_13,166.0344861026771,27567.450575380077,127.58972363015408,0.206838325280962,27567.450575380077
GBM_grid_1_AutoML_1_20260722_155857_model_26,166.07656176440756,27581.42436748708,127.665221908411,0.2069133465398547,27581.42436748708
XGBoost_grid_1_AutoML_1_20260722_155857_model_4,166.09017133678665,27585.945014683137,127.74703020439128,0.2069615047831599,27585.945014683137
GBM_grid_1_AutoML_1_20260722_155857_model_6,166.15230940638918,27606.589921076484,127.71629538410218,0.2068822033312723,27606.589921076484
XGBoost_grid_1_AutoML_1_20260722_155857_model_6,166.15244977818108,27606.63656729098,127.67330390714756,0.2067810342277556,27606.63656729098
XGBoost_grid_1_AutoML_1_20260722_155857_model_22,166.1825845272761,27616.651400165272,127.7287677136351,0.2067566659468963,27616.651400165272
StackedEnsemble_BestOfFamily_1_AutoML_1_20260722_155857,166.19448755418674,27620.60769339873,127.75273960006784,0.2068058850467182,27620.60769339873
GBM_grid_1_AutoML_1_20260722_155857_model_5,166.19573373435816,27621.021911501677,127.72309083924206,0.2070235703260624,27621.021911501677
GBM_1_AutoML_1_20260722_155857,166.2354462344939,27634.22358478132,127.8145599196174,0.2069135686490657,27634.22358478132
XGBoost_grid_1_AutoML_1_20260722_155857_model_13,166.27079179486825,27645.976204092425,127.6522766604744,0.2068948010786093,27645.976204092425
XGBoost_grid_1_AutoML_1_20260722_155857_model_28,166.33732858542024,27668.106880934058,128.00135408786016,0.2064149515004376,27668.106880934058
XGBoost_grid_1_AutoML_1_20260722_155857_model_8,166.33844180117595,27668.477220843208,127.72839348463248,0.2070340464409225,27668.477220843208
XGBoost_grid_1_AutoML_1_20260722_155857_model_21,166.36945145612466,27678.794377811817,128.01916521581668,0.2072779696248252,27678.794377811817
XGBoost_grid_1_AutoML_1_20260722_155857_model_27,166.39063135983966,27685.84220432605,128.05471945963353,0.2073116062247257,27685.84220432605
XGBoost_grid_1_AutoML_1_20260722_155857_model_14,166.4419233195443,27702.913838309058,127.87177704175905,0.2069164877110411,27702.913838309058
GBM_grid_1_AutoML_1_20260722_155857_model_18,166.47899685472208,27715.256393754567,128.09493063298544,0.2073545374505546,27715.256393754567
GBM_grid_1_AutoML_1_20260722_155857_model_28,166.53410863206062,27733.609337874965,128.3487048380657,0.2080015593293739,27733.609337874965
XGBoost_grid_1_AutoML_1_20260722_155857_model_24,166.7093447733069,27792.00563474531,127.95547411059574,,27792.00563474531
GBM_grid_1_AutoML_1_20260722_155857_model_16,166.7105310332193,27792.40115737798,128.3101182405626,0.2075776208826437,27792.40115737798
GBM_grid_1_AutoML_1_20260722_155857_model_21,166.7369109720583,27801.19748050409,128.42100450146935,0.2077146969847053,27801.19748050409
GBM_4_AutoML_1_20260722_155857,166.82718521975136,27831.30972834523,128.2778467221234,0.2075688916002526,27831.30972834523
XGBoost_grid_1_AutoML_1_20260722_155857_model_2,166.82720714100233,27831.317042466897,128.16471366102962,0.207652656472771,27831.317042466897
GBM_grid_1_AutoML_1_20260722_155857_model_23,166.85047767654368,27839.0819008908,128.2604093998104,0.2074746277572913,27839.0819008908
XGBoost_grid_1_AutoML_1_20260722_155857_model_17,167.094245684217,27920.48694077748,128.43564375245387,0.2076053573518566,27920.48694077748
XGBoost_grid_1_AutoML_1_20260722_155857_model_18,167.21159753635845,27959.71835066111,128.44817825044976,0.2075872406371371,27959.71835066111
GBM_grid_1_AutoML_1_20260722_155857_model_7,167.25391514959793,27973.872132868903,128.91142392415347,0.2081066017680997,27973.872132868903
GBM_grid_1_AutoML_1_20260722_155857_model_8,167.430705675501,28033.041202996243,128.74227603843326,0.2081428996935726,28033.041202996243
XGBoost_grid_1_AutoML_1_20260722_155857_model_16,167.4479272447277,28038.80833855562,128.69245702123106,0.2080532395095403,28038.80833855562
GBM_grid_1_AutoML_1_20260722_155857_model_27,167.5477068243272,28072.2340620907,128.8515660348479,0.2079081619451374,28072.2340620907
GBM_grid_1_AutoML_1_20260722_155857_model_2,167.59092033082666,28086.716577333493,128.8794739181952,0.2081201242459466,28086.716577333493
GBM_grid_1_AutoML_1_20260722_155857_model_10,167.73263749743757,28134.2376818468,129.0826592426105,0.2081986593295562,28134.2376818468
GBM_grid_1_AutoML_1_20260722_155857_model_17,167.74186732573304,28137.334053923823,129.13056414379636,0.2084069907692263,28137.334053923823
XGBoost_grid_1_AutoML_1_20260722_155857_model_26,167.92018218152535,28197.187583876665,129.03625544433032,0.2082963960576479,28197.187583876665
GBM_grid_1_AutoML_1_20260722_155857_model_25,168.19196890009968,28288.5384024921,129.39492679282353,0.2087006079988205,28288.5384024921
GBM_grid_1_AutoML_1_20260722_155857_model_4,168.25074769927494,28308.31410136507,129.50709780885612,0.2089820919282909,28308.31410136507
XGBoost_grid_1_AutoML_1_20260722_155857_model_12,168.3555046219897,28343.5759365248,129.35233845729027,0.2084705950336211,28343.5759365248
GBM_grid_1_AutoML_1_20260722_155857_model_9,168.7728185216829,28484.264271752905,129.85587595304136,0.2092326156881363,28484.264271752905
GBM_grid_1_AutoML_1_20260722_155857_model_11,168.99175404062802,28558.21293372812,130.0595984143497,0.2094334508414765,28558.21293372812
XGBoost_grid_1_AutoML_1_20260722_155857_model_5,169.12240700127103,28602.38854990357,129.7614152043449,0.2094680173406203,28602.38854990357
GBM_grid_1_AutoML_1_20260722_155857_model_20,169.15598275455218,28613.74650165836,130.604712349318,0.2099777428722997,28613.74650165836
XGBoost_2_AutoML_1_20260722_155857,169.40539599221228,28698.18819127825,130.16196028662645,0.2095819252649765,28698.18819127825
XGBoost_grid_1_AutoML_1_20260722_155857_model_9,169.40621269845676,28698.46490083477,130.21370154297256,0.2095032523736616,28698.46490083477
XGBoost_grid_1_AutoML_1_20260722_155857_model_10,170.74949438319285,29155.38983211601,131.2075513114349,0.2108614958812001,29155.38983211601
XGBoost_grid_1_AutoML_1_20260722_155857_model_7,171.50144937410823,29412.74713741981,131.93097049064923,0.211484733587836,29412.74713741981
XGBoost_grid_1_AutoML_1_20260722_155857_model_11,171.6084712409682,29449.46740166221,131.826665969199,0.2116185498631641,29449.46740166221
GBM_grid_1_AutoML_1_20260722_155857_model_3,171.79945721439685,29515.05349916138,132.18720401135062,0.2122696930488394,29515.05349916138
XGBoost_grid_1_AutoML_1_20260722_155857_model_1,171.81592144252147,29520.71086114271,131.93780741161376,0.2119091534051111,29520.71086114271
XGBoost_grid_1_AutoML_1_20260722_155857_model_3,172.04827497578586,29600.608922143623,132.19505732894456,0.2118506442133284,29600.608922143623
XGBoost_1_AutoML_1_20260722_155857,172.3479068220185,29703.80098593117,132.58894134180372,0.2117862909469182,29703.80098593117
XGBoost_grid_1_AutoML_1_20260722_155857_model_19,173.62356886715898,30145.1436661691,133.28669333609088,0.2136041459907672,30145.1436661691
GLM_1_AutoML_1_20260722_155857,176.26721755053424,31070.13198300737,136.02452586824768,0.2158491021509578,31070.13198300737
GBM_grid_1_AutoML_1_20260722_155857_model_24,176.8001947973089,31258.308880366378,136.39362792169177,0.2159513757400143,31258.308880366378
DRF_1_AutoML_1_20260722_155857,177.03411262662345,31341.077033495996,136.65877251789976,0.2161337528866771,31341.077033495996
XGBoost_grid_1_AutoML_1_20260722_155857_model_23,178.51435788190375,31867.375969988407,137.58370917144558,0.2170927688826546,31867.375969988407
DeepLearning_1_AutoML_1_20260722_155857,181.331582778962,32881.14291312354,140.76805894861852,0.2211557267975444,32881.14291312354
GBM_grid_1_AutoML_1_20260722_155857_model_29,188.054760061698,35364.5927818628,148.17979570396392,0.2317716859689949,35364.5927818628
DeepLearning_grid_1_AutoML_1_20260722_155857_model_3,207.08316103435587,42883.435583980965,162.4864349138412,0.2495502717833588,42883.435583980965
XRT_1_AutoML_1_20260722_155857,207.47430891502276,43045.58885976628,166.34667880155206,0.2554975556115796,43045.58885976628
DeepLearning_grid_2_AutoML_1_20260722_155857_model_1,209.12261213952544,43732.26690805838,166.00276544410983,0.2587997438920126,43732.26690805838
DeepLearning_grid_1_AutoML_1_20260722_155857_model_2,216.6080752475875,46919.058262464525,170.02234114580986,0.2570924926376667,46919.058262464525
DeepLearning_grid_1_AutoML_1_20260722_155857_model_1,216.98532384063407,47082.63076222484,170.0094509762242,0.2703137802148064,47082.63076222484
DeepLearning_grid_1_AutoML_1_20260722_155857_model_4,221.6541800078915,49130.57551497078,174.59965991413264,0.262507252150482,49130.57551497078
DeepLearning_grid_3_AutoML_1_20260722_155857_model_1,224.4102942298874,50359.98015634464,179.2860849104618,0.2743601550319505,50359.98015634464
DeepLearning_grid_2_AutoML_1_20260722_155857_model_2,229.96093678234087,52882.032445811776,185.1417093232569,0.2728567503238404,52882.032445811776
